,algo,compute_time,false_positives_ratio,noise_ratio,results,seed,true_positives_ratio
193,CAML_07VEJJ,15.306192398071289,1.6,1.0,[],10,0.28
194,FINDER_1D,12.327077627182007,1.2,1.0,"{'sigma': 12.066337634024352, 'threshold': 10.0}",10,1.0
195,FINDER_1D_loop,8.733603239059448,0.0,1.0,"{'sigma': 10.987835947236801, 'threshold': 10.0}",10,1.0
196,dbscan,0.02811574935913086,0.4,1.0,[],10,1.0
197,OPTICS,87.29372572898865,0.36,1.0,[],10,0.44
198,CAML_87B144,28.1756112575531,0.36,1.5,[],0,0.92
199,CAML_07VEJJ,16.076974153518677,1.16,1.5,[],0,0.44
200,FINDER_1D,13.999752283096313,1.2,1.5,"{'sigma': 9.668405970480858, 'threshold': 10.0}",0,1.0
201,FINDER_1D_loop,9.061038970947266,0.08,1.5,"{'sigma': 11.490088148322418, 'threshold': 10.0}",0,1.0
202,dbscan,0.029005765914916992,1.12,1.5,[],0,1.0
203,OPTICS,96.013925075531,0.24,1.5,[],0,0.36
204,CAML_87B144,25.52583622932434,0.4,1.5,[],1,0.96
205,CAML_07VEJJ,15.722900629043579,1.24,1.5,[],1,0.56
206,FINDER_1D,12.405308246612549,1.16,1.5,"{'sigma': 11.090311505099079, 'threshold': 10.0}",1,1.0
207,FINDER_1D_loop,7.677314043045044,0.04,1.5,"{'sigma': 11.090311505099079, 'threshold': 10.0}",1,0.96
208,dbscan,0.02550482749938965,0.52,1.5,[],1,1.0
209,OPTICS,78.98718571662903,0.4,1.5,[],1,0.44
210,CAML_87B144,28.440404891967773,0.2,1.5,[],2,1.0
211,CAML_07VEJJ,16.6712863445282,1.48,1.5,[],2,0.44
212,FINDER_1D,15.186469793319702,1.92,1.5,"{'sigma': 10.222052735551987, 'threshold': 10.0}",2,1.0
213,FINDER_1D_loop,9.445194959640503,0.0,1.5,"{'sigma': 11.145659347563873, 'threshold': 10.0}",2,1.0
214,dbscan,0.032729148864746094,1.56,1.5,[],2,1.0
215,OPTICS,107.90908694267273,0.28,1.5,[],2,0.4
216,CAML_87B144,28.60725712776184,0.32,1.5,[],3,0.96
217,CAML_07VEJJ,16.35518217086792,1.32,1.5,[],3,0.28
218,FINDER_1D,19.10651159286499,2.4,1.5,"{'sigma': 10.480807170153692, 'threshold': 10.0}",3,1.0
219,FINDER_1D_loop,10.38249921798706,0.04,1.5,"{'sigma': 10.480807170153692, 'threshold': 10.0}",3,0.96
220,dbscan,0.03192019462585449,1.84,1.5,[],3,1.0
221,OPTICS,114.08838200569153,0.44,1.5,[],3,0.08
222,CAML_87B144,30.470662355422974,0.4,1.5,[],4,0.92
223,CAML_07VEJJ,17.512896060943604,1.28,1.5,[],4,0.44
224,FINDER_1D,18.732471466064453,1.96,1.5,"{'sigma': 10.189586977116946, 'threshold': 10.0}",4,1.0
225,FINDER_1D_loop,9.118645906448364,0.04,1.5,"{'sigma': 10.189586977116946, 'threshold': 10.0}",4,0.96
226,dbscan,0.03159046173095703,1.8,1.5,[],4,1.0
227,OPTICS,112.36688089370728,0.32,1.5,[],4,0.32
228,CAML_87B144,27.699196100234985,0.28,1.5,[],5,1.0
229,CAML_07VEJJ,17.370879411697388,0.92,1.5,[],5,0.52
230,FINDER_1D,12.065746545791626,1.6,1.5,"{'sigma': 10.729815391887083, 'threshold': 10.0}",5,1.0
231,FINDER_1D_loop,7.852795124053955,0.0,1.5,"{'sigma': 10.729815391887083, 'threshold': 10.0}",5,1.0
232,dbscan,0.027805328369140625,1.28,1.5,[],5,1.0
233,OPTICS,90.26263761520386,0.2,1.5,[],5,0.52
234,CAML_87B144,32.7708523273468,0.48,1.5,[],6,0.92
235,CAML_07VEJJ,18.043358325958252,1.8,1.5,[],6,0.16
236,FINDER_1D,22.881741046905518,1.96,1.5,"{'sigma': 9.70639002812464, 'threshold': 10.0}",6,1.0
237,FINDER_1D_loop,10.51711130142212,0.2,1.5,"{'sigma': 12.601925833601475, 'threshold': 10.0}",6,1.0
238,dbscan,0.038370370864868164,1.92,1.5,[],6,1.0
239,OPTICS,102.84016537666321,0.32,1.5,[],6,0.36
240,CAML_87B144,30.529313325881958,0.2,1.5,[],7,1.0
241,CAML_07VEJJ,18.07583451271057,1.4,1.5,[],7,0.36
242,FINDER_1D,16.199385166168213,1.4,1.5,"{'sigma': 10.745993293180957, 'threshold': 10.0}",7,1.0
243,FINDER_1D_loop,9.060509443283081,0.04,1.5,"{'sigma': 10.745993293180957, 'threshold': 10.0}",7,0.96
244,dbscan,0.0317997932434082,0.96,1.5,[],7,1.0
245,OPTICS,98.36271572113037,0.24,1.5,[],7,0.32
246,CAML_87B144,30.165127515792847,0.44,1.5,[],8,0.88
247,CAML_07VEJJ,18.32300639152527,1.28,1.5,[],8,0.28
248,FINDER_1D,14.473691463470459,1.84,1.5,"{'sigma': 11.30426947984072, 'threshold': 10.0}",8,1.0
249,FINDER_1D_loop,9.888941049575806,0.08,1.5,"{'sigma': 11.30426947984072, 'threshold': 10.0}",8,1.0
250,dbscan,0.031032562255859375,1.32,1.5,[],8,1.0
251,OPTICS,111.25404119491577,0.28,1.5,[],8,0.48
252,CAML_87B144,32.31044363975525,0.28,1.5,[],9,1.0
253,CAML_07VEJJ,19.774210214614868,1.4,1.5,[],9,0.28
254,FINDER_1D,21.55917263031006,1.96,1.5,"{'sigma': 9.484017000707926, 'threshold': 10.0}",9,1.0
255,FINDER_1D_loop,12.07149362564087,0.04,1.5,"{'sigma': 8.695292247528613, 'threshold': 10.0}",9,0.96
256,dbscan,0.042198896408081055,2.12,1.5,[],9,1.0
257,OPTICS,115.00655579566956,0.32,1.5,[],9,0.32
258,CAML_87B144,32.76772999763489,0.28,1.5,[],10,1.0
259,CAML_07VEJJ,19.626396656036377,1.64,1.5,[],10,0.16
260,FINDER_1D,27.414976596832275,2.64,1.5,"{'sigma': 9.982709505855725, 'threshold': 10.0}",10,1.0
261,FINDER_1D_loop,11.66327452659607,0.0,1.5,"{'sigma': 9.982709505855725, 'threshold': 10.0}",10,1.0
262,dbscan,0.0396580696105957,2.64,1.5,[],10,1.0
263,OPTICS,107.09183049201965,0.4,1.5,[],10,0.44
264,CAML_87B144,35.141300439834595,0.68,2.0,[],0,0.96
265,CAML_07VEJJ,19.874021768569946,1.72,2.0,[],0,0.28
266,FINDER_1D,25.083689212799072,2.88,2.0,"{'sigma': 9.864405571248826, 'threshold': 10.0}",0,1.0
267,FINDER_1D_loop,12.238675355911255,0.08,2.0,"{'sigma': 9.864405571248826, 'threshold': 10.0}",0,0.96
268,dbscan,0.03884696960449219,3.08,2.0,[],0,0.96
269,OPTICS,107.12720036506653,0.44,2.0,[],0,0.2
270,CAML_87B144,31.61493158340454,0.24,2.0,[],1,0.96
271,CAML_07VEJJ,19.791454792022705,1.6,2.0,[],1,0.28
272,FINDER_1D,18.18463373184204,2.48,2.0,"{'sigma': 10.346927050097422, 'threshold': 10.0}",1,1.0
273,FINDER_1D_loop,9.357159614562988,0.0,2.0,"{'sigma': 10.346927050097422, 'threshold': 10.0}",1,0.92
274,dbscan,0.031116485595703125,2.32,2.0,[],1,1.0
275,OPTICS,111.44941067695618,0.36,2.0,[],1,0.28
276,CAML_87B144,34.35921096801758,0.6,2.0,[],2,1.0
277,CAML_07VEJJ,20.73093557357788,1.84,2.0,[],2,0.24
278,FINDER_1D,30.18559455871582,2.76,2.0,"{'sigma': 8.88995506554716, 'threshold': 10.0}",2,1.0
279,FINDER_1D_loop,12.372363567352295,0.0,2.0,"{'sigma': 8.88995506554716, 'threshold': 10.0}",2,0.96
280,dbscan,0.042906999588012695,3.0,2.0,[],2,1.0
281,OPTICS,120.79876136779785,0.44,2.0,[],2,0.28
282,CAML_87B144,38.110228538513184,0.4,2.0,[],3,1.0
283,CAML_07VEJJ,21.252131700515747,1.8,2.0,[],3,0.2
284,FINDER_1D,40.065078258514404,2.8,2.0,"{'sigma': 9.099447998638148, 'threshold': 10.0}",3,1.0
285,FINDER_1D_loop,13.31380295753479,0.16,2.0,"{'sigma': 8.492987692002226, 'threshold': 10.0}",3,0.84
286,dbscan,0.043457984924316406,2.8,2.0,[],3,1.0
287,OPTICS,127.1899983882904,0.36,2.0,[],3,0.16
288,CAML_87B144,35.705729961395264,0.28,2.0,[],4,1.0
289,CAML_07VEJJ,21.562098264694214,1.28,2.0,[],4,0.36
290,FINDER_1D,28.90503454208374,3.24,2.0,"{'sigma': 9.478565956221802, 'threshold': 10.0}",4,1.0
291,FINDER_1D_loop,12.431612491607666,0.04,2.0,"{'sigma': 8.78553216163962, 'threshold': 10.0}",4,0.92
292,dbscan,0.04375314712524414,2.92,2.0,[],4,0.96
293,OPTICS,124.10426068305969,0.44,2.0,[],4,0.2
294,CAML_87B144,33.906978368759155,0.6,2.0,[],5,0.96
295,CAML_07VEJJ,21.445603132247925,1.48,2.0,[],5,0.32
296,FINDER_1D,25.755478858947754,3.12,2.0,"{'sigma': 9.956715063805374, 'threshold': 10.0}",5,1.0
297,FINDER_1D_loop,10.0867760181427,0.16,2.0,"{'sigma': 9.956715063805374, 'threshold': 10.0}",5,0.92
298,dbscan,0.03777909278869629,3.16,2.0,[],5,1.0
299,OPTICS,100.62660264968872,0.44,2.0,[],5,0.28
300,CAML_87B144,37.873056411743164,1.0,2.0,[],6,1.0
301,CAML_07VEJJ,22.16316294670105,1.72,2.0,[],6,0.16
302,FINDER_1D,43.82359075546265,3.84,2.0,"{'sigma': 9.028871305421717, 'threshold': 10.0}",6,1.0
303,FINDER_1D_loop,14.056299686431885,0.12,2.0,"{'sigma': 9.73937679353084, 'threshold': 10.0}",6,0.96
304,dbscan,0.048900604248046875,2.92,2.0,[],6,0.96
305,OPTICS,143.1786425113678,0.6,2.0,[],6,0.16
306,CAML_87B144,37.40341854095459,0.44,2.0,[],7,1.0
307,CAML_07VEJJ,22.874552488327026,1.16,2.0,[],7,0.36
308,FINDER_1D,26.45340895652771,2.32,2.0,"{'sigma': 9.317601304722585, 'threshold': 10.0}",7,1.0
309,FINDER_1D_loop,10.864783763885498,0.04,2.0,"{'sigma': 10.029684106606059, 'threshold': 10.0}",7,0.96
310,dbscan,0.03845334053039551,2.6,2.0,[],7,1.0
311,OPTICS,105.90185070037842,0.48,2.0,[],7,0.28
312,CAML_87B144,39.472466468811035,0.52,2.0,[],8,0.92
313,CAML_07VEJJ,22.9960515499115,1.92,2.0,[],8,0.12
314,FINDER_1D,28.4418842792511,3.28,2.0,"{'sigma': 8.959695795380792, 'threshold': 10.0}",8,1.0
315,FINDER_1D_loop,12.100913047790527,0.12,2.0,"{'sigma': 10.406101429952436, 'threshold': 10.0}",8,1.0
316,dbscan,0.04401564598083496,3.04,2.0,[],8,1.0
317,OPTICS,126.01194047927856,0.32,2.0,[],8,0.36
318,CAML_87B144,39.58981800079346,0.56,2.0,[],9,1.0
319,CAML_07VEJJ,23.67066502571106,1.64,2.0,[],9,0.12
320,FINDER_1D,46.422348976135254,3.76,2.0,"{'sigma': 8.20368937767992, 'threshold': 10.0}",9,1.0
