,Delta_ratio,algo,compute_time,false_positives_ratio,results,seed,true_positives_ratio
113,1.25,OPTICS,33.084702014923096,0.28,[],7,0.76
114,1.25,CAML_87B144,15.722419500350952,0.16,[],8,0.88
115,1.25,CAML_07VEJJ,10.516209602355957,0.96,[],8,0.6
116,1.25,FINDER_1D,3.3598532676696777,0.0,"{'sigma': 10.33177806548872, 'threshold': 10.0}",8,1.0
117,1.25,FINDER_1D_loop,3.4350037574768066,0.04,"{'sigma': 12.71263135473956, 'threshold': 10.0}",8,0.96
118,1.25,dbscan,0.01496434211730957,0.04,[],8,1.0
119,1.25,OPTICS,40.41557502746582,0.12,[],8,0.88
120,1.25,CAML_87B144,16.788413047790527,0.08,[],9,0.96
121,1.25,CAML_07VEJJ,10.905613899230957,1.16,[],9,0.44
122,1.25,FINDER_1D,3.967066764831543,0.24,"{'sigma': 6.4846349175270355, 'threshold': 10.0}",9,0.96
123,1.25,FINDER_1D_loop,4.001905679702759,0.0,"{'sigma': 9.162941693642074, 'threshold': 10.0}",9,0.96
124,1.25,dbscan,0.020507335662841797,0.0,[],9,1.0
125,1.25,OPTICS,43.26581907272339,0.36,[],9,0.72
126,1.25,CAML_87B144,18.11567211151123,0.08,[],10,1.0
127,1.25,CAML_07VEJJ,10.928209781646729,1.2,[],10,0.48
128,1.25,FINDER_1D,4.197997331619263,0.04,"{'sigma': 8.921044941224485, 'threshold': 10.0}",10,1.0
129,1.25,FINDER_1D_loop,3.9851651191711426,0.0,"{'sigma': 12.129142145038491, 'threshold': 10.0}",10,1.0
130,1.25,dbscan,0.019156932830810547,0.0,[],10,1.0
131,1.25,OPTICS,36.88542437553406,0.2,[],10,0.84
132,1.0,CAML_87B144,16.082091569900513,0.12,[],0,0.92
133,1.0,CAML_07VEJJ,11.203415155410767,0.84,[],0,0.68
134,1.0,FINDER_1D,4.180906534194946,0.16,"{'sigma': 8.216150231564919, 'threshold': 10.0}",0,0.92
135,1.0,FINDER_1D_loop,3.2158424854278564,0.0,"{'sigma': 12.118483385284062, 'threshold': 10.0}",0,0.92
136,1.0,dbscan,0.013942956924438477,0.0,[],0,1.0
137,1.0,OPTICS,38.75654602050781,0.24,[],0,0.72
138,1.0,CAML_87B144,15.299352169036865,0.0,[],1,0.96
139,1.0,CAML_07VEJJ,10.9121253490448,0.64,[],1,0.76
