,N_clusters,algo,compute_time,false_positives_ratio,results,seed,true_positives_ratio
113,15,OPTICS,1.4960062503814697,0.0,[],7,0.6
114,15,CAML_87B144,8.730759143829346,0.0,[],8,0.0
115,15,CAML_07VEJJ,8.508562088012695,0.06666666666666667,[],8,0.8666666666666667
116,15,FINDER_1D,0.25748252868652344,0.0,"{'sigma': 47.50659426427903, 'threshold': 10.0}",8,0.8666666666666667
117,15,FINDER_1D_loop,0.30984067916870117,0.0,"{'sigma': 66.07801103771449, 'threshold': 10.0}",8,0.6
118,15,dbscan,0.002071857452392578,0.0,[],8,0.0
119,15,OPTICS,1.9518840312957764,0.0,[],8,0.5333333333333333
120,15,CAML_87B144,9.90105652809143,0.26666666666666666,[],9,0.13333333333333333
121,15,CAML_07VEJJ,8.741148710250854,0.06666666666666667,[],9,0.8666666666666667
122,15,FINDER_1D,0.28534746170043945,0.0,"{'sigma': 50.53284574408438, 'threshold': 10.0}",9,0.8666666666666667
123,15,FINDER_1D_loop,0.3278036117553711,0.0,"{'sigma': 56.23774136563587, 'threshold': 10.0}",9,0.8666666666666667
124,15,dbscan,0.002071857452392578,0.0,[],9,0.0
125,15,OPTICS,1.651066780090332,0.0,[],9,0.5333333333333333
126,15,CAML_87B144,9.363066673278809,0.0,[],10,0.0
127,15,CAML_07VEJJ,9.070345163345337,0.0,[],10,0.8
128,15,FINDER_1D,0.26848316192626953,0.06666666666666667,"{'sigma': 55.22134339715847, 'threshold': 10.0}",10,0.7333333333333333
129,15,FINDER_1D_loop,0.30477237701416016,0.0,"{'sigma': 67.74955229428437, 'threshold': 10.0}",10,0.6666666666666666
130,15,dbscan,0.002010822296142578,0.0,[],10,0.0
131,15,OPTICS,1.2108197212219238,0.0,[],10,0.26666666666666666
132,20,CAML_87B144,10.004968404769897,0.0,[],0,0.0
133,20,CAML_07VEJJ,9.931373119354248,0.1,[],0,0.75
134,20,FINDER_1D,0.41610026359558105,0.0,"{'sigma': 44.44170348994897, 'threshold': 10.0}",0,0.75
135,20,FINDER_1D_loop,0.45316052436828613,0.0,"{'sigma': 59.83080375593177, 'threshold': 10.0}",0,0.55
136,20,dbscan,0.002623319625854492,0.0,[],0,0.0
137,20,OPTICS,2.9385390281677246,0.05,[],0,0.55
138,20,CAML_87B144,10.27931809425354,0.0,[],1,0.0
139,20,CAML_07VEJJ,10.261518716812134,0.1,[],1,0.7
140,20,FINDER_1D,0.270474910736084,0.05,"{'sigma': 45.59055023381299, 'threshold': 10.0}",1,0.75
141,20,FINDER_1D_loop,0.36069369316101074,0.05,"{'sigma': 60.923974031165066, 'threshold': 10.0}",1,0.55
142,20,dbscan,0.0023245811462402344,0.0,[],1,0.0
143,20,OPTICS,2.3365416526794434,0.0,[],1,0.5
144,20,CAML_87B144,12.35111951828003,1.55,[],2,0.45
145,20,CAML_07VEJJ,10.079068422317505,0.1,[],2,0.6
146,20,FINDER_1D,0.3473787307739258,0.0,"{'sigma': 44.46662769432293, 'threshold': 10.0}",2,0.8
147,20,FINDER_1D_loop,0.4060077667236328,0.0,"{'sigma': 67.79601737728372, 'threshold': 10.0}",2,0.65
148,20,dbscan,0.0023920536041259766,0.0,[],2,0.0
149,20,OPTICS,3.0412473678588867,0.0,[],2,0.5
150,20,CAML_87B144,12.556493282318115,0.9,[],3,0.4
151,20,CAML_07VEJJ,10.523976802825928,0.05,[],3,0.75
152,20,FINDER_1D,0.3942868709564209,0.0,"{'sigma': 46.815453222854444, 'threshold': 10.0}",3,0.8
153,20,FINDER_1D_loop,0.4480574131011963,0.0,"{'sigma': 51.87794228586371, 'threshold': 10.0}",3,0.55
154,20,dbscan,0.002343893051147461,0.0,[],3,0.0
155,20,OPTICS,2.5927419662475586,0.0,[],3,0.55
156,20,CAML_87B144,11.622838973999023,0.0,[],4,0.0
157,20,CAML_07VEJJ,10.784090280532837,0.05,[],4,0.65
158,20,FINDER_1D,0.33513355255126953,0.0,"{'sigma': 53.96043364614325, 'threshold': 10.0}",4,0.65
159,20,FINDER_1D_loop,0.35726261138916016,0.0,"{'sigma': 70.67255994640477, 'threshold': 10.0}",4,0.45
160,20,dbscan,0.0023086071014404297,0.0,[],4,0.0
161,20,OPTICS,2.025135040283203,0.0,[],4,0.45
162,20,CAML_87B144,13.018338441848755,0.6,[],5,0.45
163,20,CAML_07VEJJ,11.628157615661621,0.05,[],5,0.5
164,20,FINDER_1D,0.3322744369506836,0.0,"{'sigma': 41.54037062456087, 'threshold': 10.0}",5,0.65
165,20,FINDER_1D_loop,0.39558935165405273,0.0,"{'sigma': 51.01730039732503, 'threshold': 10.0}",5,0.5
166,20,dbscan,0.0024149417877197266,0.0,[],5,0.0
167,20,OPTICS,3.1754913330078125,0.0,[],5,0.65
168,20,CAML_87B144,12.964267015457153,0.7,[],6,0.5
169,20,CAML_07VEJJ,11.229752779006958,0.0,[],6,0.85
170,20,FINDER_1D,0.31751394271850586,0.05,"{'sigma': 57.937127871814184, 'threshold': 10.0}",6,0.7
171,20,FINDER_1D_loop,0.35625624656677246,0.0,"{'sigma': 63.89535974455728, 'threshold': 10.0}",6,0.55
172,20,dbscan,0.0023124217987060547,0.0,[],6,0.0
173,20,OPTICS,2.3819849491119385,0.0,[],6,0.5
174,20,CAML_87B144,13.736693859100342,2.35,[],7,0.7
175,20,CAML_07VEJJ,12.856449127197266,0.0,[],7,0.75
176,20,FINDER_1D,0.44234466552734375,0.05,"{'sigma': 57.587699994006535, 'threshold': 10.0}",7,0.85
177,20,FINDER_1D_loop,0.44193363189697266,0.0,"{'sigma': 70.20345111141924, 'threshold': 10.0}",7,0.65
178,20,dbscan,0.002472400665283203,0.0,[],7,0.0
179,20,OPTICS,2.917876720428467,0.0,[],7,0.55
180,20,CAML_87B144,14.057992935180664,1.4,[],8,0.3
181,20,CAML_07VEJJ,12.670467615127563,0.05,[],8,0.7
182,20,FINDER_1D,0.3839757442474365,0.0,"{'sigma': 49.949391534663114, 'threshold': 10.0}",8,0.7
183,20,FINDER_1D_loop,0.4643235206604004,0.0,"{'sigma': 68.41516493536142, 'threshold': 10.0}",8,0.5
184,20,dbscan,0.0027036666870117188,0.0,[],8,0.0
185,20,OPTICS,3.680554151535034,0.0,[],8,0.55
186,20,CAML_87B144,14.27624225616455,0.0,[],9,0.0
187,20,CAML_07VEJJ,13.048033952713013,0.05,[],9,0.75
188,20,FINDER_1D,0.4615051746368408,0.0,"{'sigma': 34.84922654550637, 'threshold': 10.0}",9,0.8
189,20,FINDER_1D_loop,0.5413477420806885,0.0,"{'sigma': 47.86519825162476, 'threshold': 10.0}",9,0.7
190,20,dbscan,0.002521514892578125,0.0,[],9,0.0
191,20,OPTICS,3.576910972595215,0.0,[],9,0.7
192,20,CAML_87B144,14.161751985549927,0.25,[],10,0.3
193,20,CAML_07VEJJ,13.666586875915527,0.15,[],10,0.75
194,20,FINDER_1D,0.4679265022277832,0.0,"{'sigma': 46.295007559272456, 'threshold': 10.0}",10,0.85
195,20,FINDER_1D_loop,0.473954439163208,0.0,"{'sigma': 66.60814040861918, 'threshold': 10.0}",10,0.7
196,20,dbscan,0.002340078353881836,0.0,[],10,0.0
197,20,OPTICS,2.5534040927886963,0.0,[],10,0.55
198,25,CAML_87B144,14.912265539169312,0.2,[],0,0.36
199,25,CAML_07VEJJ,13.624191522598267,0.04,[],0,0.76
200,25,FINDER_1D,0.6110961437225342,0.0,"{'sigma': 39.961611139346054, 'threshold': 10.0}",0,0.8
201,25,FINDER_1D_loop,0.563133716583252,0.0,"{'sigma': 52.260407923979336, 'threshold': 10.0}",0,0.64
202,25,dbscan,0.0031309127807617188,0.0,[],0,0.0
203,25,OPTICS,3.717285394668579,0.0,[],0,0.6
204,25,CAML_87B144,15.058674335479736,0.28,[],1,0.56
205,25,CAML_07VEJJ,14.342685222625732,0.08,[],1,0.64
206,25,FINDER_1D,0.4588150978088379,0.16,"{'sigma': 50.05290041083365, 'threshold': 10.0}",1,0.68
207,25,FINDER_1D_loop,0.5412063598632812,0.0,"{'sigma': 66.32294817604294, 'threshold': 10.0}",1,0.52
208,25,dbscan,0.0031239986419677734,0.0,[],1,0.0
209,25,OPTICS,3.173988103866577,0.0,[],1,0.6
210,25,CAML_87B144,16.152525663375854,0.28,[],2,0.56
211,25,CAML_07VEJJ,14.452504873275757,0.16,[],2,0.76
212,25,FINDER_1D,0.6607301235198975,0.0,"{'sigma': 42.23433913658278, 'threshold': 10.0}",2,0.64
213,25,FINDER_1D_loop,0.6271421909332275,0.0,"{'sigma': 50.95034232654764, 'threshold': 10.0}",2,0.52
214,25,dbscan,0.0031549930572509766,0.0,[],2,0.0
215,25,OPTICS,3.2710793018341064,0.04,[],2,0.48
216,25,CAML_87B144,15.638010501861572,0.08,[],3,0.64
217,25,CAML_07VEJJ,15.037406206130981,0.04,[],3,0.76
218,25,FINDER_1D,0.6121644973754883,0.0,"{'sigma': 42.5951237476231, 'threshold': 10.0}",3,0.8
219,25,FINDER_1D_loop,0.579359769821167,0.0,"{'sigma': 56.49766279041833, 'threshold': 10.0}",3,0.56
220,25,dbscan,0.0029549598693847656,0.0,[],3,0.0
221,25,OPTICS,3.29837965965271,0.0,[],3,0.6
222,25,CAML_87B144,16.176097631454468,0.12,[],4,0.56
223,25,CAML_07VEJJ,14.633193016052246,0.08,[],4,0.76
224,25,FINDER_1D,0.8396334648132324,0.04,"{'sigma': 50.4630329855501, 'threshold': 10.0}",4,0.8
225,25,FINDER_1D_loop,0.6739335060119629,0.0,"{'sigma': 65.34080480466484, 'threshold': 10.0}",4,0.6
226,25,dbscan,0.00301361083984375,0.0,[],4,0.0
227,25,OPTICS,2.8133931159973145,0.0,[],4,0.6
228,25,CAML_87B144,16.73533582687378,0.24,[],5,0.48
229,25,CAML_07VEJJ,15.411878824234009,0.16,[],5,0.48
230,25,FINDER_1D,0.4425630569458008,0.08,"{'sigma': 37.53274992920507, 'threshold': 10.0}",5,0.64
231,25,FINDER_1D_loop,0.5414557456970215,0.0,"{'sigma': 50.77117508047442, 'threshold': 10.0}",5,0.4
232,25,dbscan,0.0030753612518310547,0.0,[],5,0.0
233,25,OPTICS,4.027470350265503,0.04,[],5,0.36
234,25,CAML_87B144,17.030911207199097,0.24,[],6,0.4
235,25,CAML_07VEJJ,15.456636905670166,0.16,[],6,0.64
236,25,FINDER_1D,0.43858838081359863,0.0,"{'sigma': 39.139545169015626, 'threshold': 10.0}",6,0.76
237,25,FINDER_1D_loop,0.5226657390594482,0.0,"{'sigma': 57.388536551246, 'threshold': 10.0}",6,0.48
238,25,dbscan,0.002993345260620117,0.0,[],6,0.0
239,25,OPTICS,3.2445428371429443,0.0,[],6,0.44
240,25,CAML_87B144,17.574305534362793,0.16,[],7,0.8
241,25,CAML_07VEJJ,16.32392168045044,0.04,[],7,0.88
242,25,FINDER_1D,0.686805009841919,0.04,"{'sigma': 47.42221739148739, 'threshold': 10.0}",7,0.88
243,25,FINDER_1D_loop,0.6524450778961182,0.0,"{'sigma': 61.73735069371652, 'threshold': 10.0}",7,0.72
244,25,dbscan,0.0030846595764160156,0.0,[],7,0.0
245,25,OPTICS,2.8793468475341797,0.0,[],7,0.68
246,25,CAML_87B144,18.024683713912964,0.2,[],8,0.56
247,25,CAML_07VEJJ,16.491055011749268,0.0,[],8,0.68
248,25,FINDER_1D,0.6263492107391357,0.12,"{'sigma': 45.468365480563214, 'threshold': 10.0}",8,0.72
249,25,FINDER_1D_loop,0.6279723644256592,0.0,"{'sigma': 54.502699415756204, 'threshold': 10.0}",8,0.56
250,25,dbscan,0.0033822059631347656,0.0,[],8,0.0
251,25,OPTICS,4.053734302520752,0.0,[],8,0.6
252,25,CAML_87B144,17.707710027694702,0.04,[],9,0.36
253,25,CAML_07VEJJ,16.966180562973022,0.08,[],9,0.88
254,25,FINDER_1D,0.656625509262085,0.08,"{'sigma': 48.78959171200839, 'threshold': 10.0}",9,0.72
255,25,FINDER_1D_loop,0.5901432037353516,0.0,"{'sigma': 53.33937586915895, 'threshold': 10.0}",9,0.56
256,25,dbscan,0.0032379627227783203,0.0,[],9,0.0
257,25,OPTICS,3.3419244289398193,0.0,[],9,0.56
258,25,CAML_87B144,18.4312584400177,0.12,[],10,0.56
259,25,CAML_07VEJJ,16.92529559135437,0.0,[],10,0.76
260,25,FINDER_1D,0.5659599304199219,0.0,"{'sigma': 51.24692764082286, 'threshold': 10.0}",10,0.76
261,25,FINDER_1D_loop,0.5860311985015869,0.0,"{'sigma': 56.27935170569392, 'threshold': 10.0}",10,0.6
262,25,dbscan,0.0032129287719726562,0.0,[],10,0.0
263,25,OPTICS,3.8477659225463867,0.0,[],10,0.64
264,30,CAML_87B144,19.40301275253296,0.06666666666666667,[],0,0.4666666666666667
265,30,CAML_07VEJJ,17.740682125091553,0.1,[],0,0.6666666666666666
266,30,FINDER_1D,0.8482754230499268,0.06666666666666667,"{'sigma': 41.54704933830577, 'threshold': 10.0}",0,0.7
267,30,FINDER_1D_loop,0.8628625869750977,0.0,"{'sigma': 58.0371599413803, 'threshold': 10.0}",0,0.5333333333333333
268,30,dbscan,0.0036857128143310547,0.0,[],0,0.0
